,customer,recency,frequency,monetary
0,cust68,126,6,342374
1,cust9,9,86,2690356
2,cust473,11,21,686291
3,cust134,21,45,674963
4,cust42,15,73,8181685
5,cust114,11,63,3479847
6,cust385,304,3,62381
7,cust90,17,60,823443
8,cust377,11,127,4463408
9,cust1632,9,18,102156
