,customer,recency,frequency,monetary
994,cust5902,84,1,14008
995,cust965,49,18,417815
996,cust1472,28,21,211850
997,cust1198,74,6,810215
998,cust125,10,37,618901
999,cust2128,59,5,199846
1000,cust594,38,5,118298
1001,cust1765,92,5,160248
1002,cust5932,45,2,12462
1003,cust1167,15,25,976977
1004,cust3466,53,4,44397
1005,cust1380,60,6,103155
1006,cust2302,52,6,77854
1007,cust1987,18,7,73858
1008,cust5991,270,1,28459
1009,cust2535,106,2,16613
1010,cust1034,56,18,1097856
1011,cust1670,63,11,346708
1012,cust146,100,7,222132
1013,cust6005,249,2,44565
1014,cust1174,81,10,21552
1015,cust918,25,19,570762
1016,cust174,25,36,1728159
1017,cust745,32,20,506061
1018,cust1751,43,5,48808
1019,cust2087,37,4,33015
1020,cust713,123,1,72965
1021,cust2837,18,8,438402
1022,cust2802,85,2,67601
1023,cust1674,85,11,753295
1024,cust1926,23,11,144075
1025,cust317,16,13,148499
1026,cust621,10,62,2919789
1027,cust192,56,7,44297
1028,cust1020,57,10,173673
1029,cust752,25,8,588228
1030,cust605,71,14,532237
1031,cust324,42,4,47249
1032,cust1430,51,4,11137
1033,cust1852,80,8,9999
1034,cust4234,134,1,50172
1035,cust635,22,19,117559
1036,cust1030,57,2,24873
1037,cust2573,92,5,110939
1038,cust1387,35,8,24958
1039,cust3896,53,9,582037
1040,cust872,24,22,250358
1041,cust2022,100,1,7657
1042,cust1210,63,2,90772
1043,cust314,25,10,49408
1044,cust2133,24,18,105467
1045,cust366,22,17,175571
1046,cust1966,93,6,52975
1047,cust682,15,11,74719
1048,cust6102,113,1,70752
1049,cust3786,30,2,33617
1050,cust2413,253,1,45931
1051,cust3535,242,1,8978
1052,cust823,50,14,951789
1053,cust6120,44,3,23324
1054,cust1476,116,5,54259
1055,cust2660,119,3,23267
1056,cust2829,134,3,95939
1057,cust2422,18,7,4194
1058,cust1091,149,5,339493
1059,cust2002,212,1,69695
1060,cust3064,72,8,69070
1061,cust3427,93,6,367664
1062,cust4134,103,2,31500
1063,cust467,50,3,31364
1064,cust2546,254,3,1021985
1065,cust807,49,7,154955
1066,cust2488,179,2,467135
1067,cust716,15,12,1353947
1068,cust2398,81,3,48715
1069,cust2922,71,6,128060
1070,cust870,60,10,265411
1071,cust3252,170,2,66092
1072,cust4929,123,5,186007
1073,cust1935,128,2,57759
1074,cust4260,122,3,58495
1075,cust1779,43,5,119550
1076,cust2849,129,3,505665
1077,cust3946,39,2,257793
1078,cust4987,102,2,96557
1079,cust2505,91,2,33849
1080,cust811,177,10,110165
1081,cust6207,289,2,25637
1082,cust166,84,2,138574
1083,cust4351,88,4,113197
1084,cust986,77,11,340892
1085,cust912,15,3,31734
1086,cust3793,66,3,174823
1087,cust2446,70,9,37311
1088,cust2443,17,4,34953
1089,cust2234,92,14,108163
1090,cust2934,141,1,95997
1091,cust410,35,11,69862
1092,cust1273,73,10,124124
1093,cust1463,98,3,33066
1094,cust2637,112,1,113786
1095,cust3027,56,2,2417
1096,cust287,30,35,1038917
1097,cust4443,147,2,28434
1098,cust1322,98,4,177764
1099,cust1566,88,2,68321
1100,cust1025,71,12,215992
1101,cust6260,161,2,122915
1102,cust4954,59,2,18984
1103,cust210,28,30,1018367
1104,cust3918,73,2,5821
1105,cust836,36,10,131391
1106,cust3533,25,4,49464
1107,cust1070,91,3,52614
1108,cust3421,88,5,59161
1109,cust2238,66,10,136101
1110,cust2893,92,1,62717
1111,cust1524,50,3,94570
1112,cust4479,86,4,997889
1113,cust290,32,30,582096
1114,cust3105,172,2,384171
1115,cust3144,129,7,178750
1116,cust4526,102,3,664857
1117,cust1601,190,3,-3123
1118,cust1262,80,1,1656
1119,cust3662,39,5,128626
1120,cust1366,144,4,554709
1121,cust550,22,26,298122
1122,cust7,36,2,38802
1123,cust4831,163,2,19323
1124,cust2161,147,10,125722
1125,cust1808,79,3,110097
1126,cust5365,120,1,8393
1127,cust1112,14,16,571738
1128,cust2077,31,3,42927
1129,cust3433,64,2,7691
1130,cust1275,81,11,1606865
1131,cust75,95,6,498394
1132,cust334,78,14,232106
1133,cust412,239,2,159556
1134,cust6420,30,3,54835
1135,cust497,17,13,188493
1136,cust754,11,44,373911
1137,cust3460,199,2,42655
1138,cust4830,276,1,19932
1139,cust6427,185,1,-522
1140,cust2633,102,6,41846
1141,cust1706,66,15,939688
1142,cust2078,133,4,270689
1143,cust6446,92,1,6850
1144,cust4913,95,2,14680
1145,cust3568,100,3,116987
1146,cust3010,58,6,85998
1147,cust792,44,5,128700
1148,cust2995,105,6,323360
1149,cust3969,108,3,29075
1150,cust2326,269,4,148524
1151,cust1943,16,13,452779
1152,cust1371,130,1,32777
1153,cust580,57,10,93058
1154,cust1197,207,2,141610
1155,cust3442,85,4,112816
1156,cust577,28,10,249149
1157,cust518,74,4,165867
1158,cust3179,143,1,25559
1159,cust37,22,47,728140
1160,cust6496,220,1,8296
1161,cust1784,113,9,142501
1162,cust5297,57,2,227712
1163,cust246,122,2,104659
1164,cust2240,11,8,95654
1165,cust2914,232,2,41215
1166,cust3380,81,3,114983
1167,cust6008,193,1,4618
1168,cust1502,79,6,161173
1169,cust539,37,15,481335
1170,cust2449,157,1,51222
1171,cust774,23,7,70378
1172,cust562,50,9,153558
1173,cust3450,170,3,74676
1174,cust2341,37,14,170283
1175,cust2092,43,3,53048
1176,cust2297,51,4,36605
1177,cust160,87,11,689803
1178,cust1985,37,10,87069
1179,cust905,16,13,93085
1180,cust554,143,2,10286
1181,cust2749,158,5,92948
1182,cust723,28,8,601766
1183,cust2876,172,1,59470
1184,cust1454,44,4,187110
1185,cust3290,270,1,40674
1186,cust4904,88,1,703
1187,cust613,136,7,1557447
1188,cust1118,116,3,336736
1189,cust5325,113,3,23493
1190,cust817,39,21,753094
1191,cust808,79,2,65845
1192,cust99,24,18,193293
1193,cust1598,64,6,327214
1194,cust532,87,4,165877
1195,cust730,115,7,1377478
1196,cust6621,14,2,48469
1197,cust2377,56,10,75472
1198,cust6504,262,1,4710
1199,cust3276,231,1,25104
1200,cust5266,39,7,69062
1201,cust588,79,19,467896
1202,cust4528,171,2,-1814
1203,cust3016,51,5,36527
1204,cust2314,133,5,18805
1205,cust6663,147,1,3673
1206,cust2823,119,2,27310
1207,cust2244,32,14,438182
1208,cust242,63,4,57102
1209,cust694,141,9,1283996
1210,cust1092,38,13,554059
1211,cust2261,163,2,38778
1212,cust3737,480,1,-4547
1213,cust292,77,10,1901212
1214,cust5239,60,2,114531
1215,cust3620,112,1,7982
1216,cust105,14,31,291028
1217,cust5944,114,2,96665
1218,cust1913,130,7,494855
1219,cust1160,49,9,2177425
1220,cust25,10,19,147812
1221,cust974,63,2,11909
1222,cust373,14,2,17413
1223,cust952,42,6,106975
1224,cust2974,70,3,122524
1225,cust3925,228,1,35395
1226,cust4303,37,3,46733
1227,cust1716,99,3,47749
1228,cust4357,59,3,161297
1229,cust782,129,5,231851
1230,cust5804,65,4,121755
1231,cust1950,163,3,153256
1232,cust2884,133,1,17405
1233,cust4001,108,2,59462
1234,cust5684,39,2,37443
1235,cust247,36,8,224925
1236,cust2089,65,5,45121
1237,cust97,10,10,421799
1238,cust4244,92,2,21576
1239,cust3000,59,10,149282
1240,cust3682,156,2,67111
1241,cust3135,144,1,5849
1242,cust4833,86,2,3482
1243,cust375,57,24,680591
1244,cust884,56,7,148625
1245,cust582,38,3,11856
1246,cust2614,29,4,23219
1247,cust36,36,10,132117
1248,cust6773,64,2,13800
1249,cust6406,249,1,21307
1250,cust1060,53,18,1548476
1251,cust1555,178,2,32030
1252,cust1896,79,3,54324
1253,cust1085,45,4,19158
1254,cust1602,79,3,26885
1255,cust415,70,12,661629
1256,cust1100,218,3,208717
1257,cust1108,256,1,17291
1258,cust1672,70,6,461066
1259,cust2116,156,2,85926
1260,cust1166,21,6,82780
1261,cust1803,71,6,341588
1262,cust2164,45,6,109816
1263,cust4394,228,1,72566
1264,cust663,58,6,83814
1265,cust3366,170,1,36937
1266,cust3818,81,1,3378
1267,cust916,105,18,271411
1268,cust3697,78,4,35704
1269,cust4223,85,2,56690
1270,cust219,14,10,50228
1271,cust1847,30,9,197582
1272,cust3351,44,7,210499
1273,cust601,38,17,525550
1274,cust2253,112,4,176937
1275,cust463,39,8,298171
1276,cust1576,52,8,237201
1277,cust2929,57,10,109376
1278,cust1498,15,13,79395
1279,cust52,85,15,584347
1280,cust814,38,4,74974
1281,cust548,43,21,277693
1282,cust1032,29,4,12021
1283,cust1621,88,9,100681
1284,cust1352,88,2,50483
1285,cust1622,72,5,374095
1286,cust1691,37,31,979439
1287,cust260,52,2,13882
1288,cust4423,112,1,988
1289,cust944,45,18,292177
1290,cust5034,142,2,106690
1291,cust3744,79,5,610627
1292,cust127,92,6,296512
1293,cust2741,192,4,117693
1294,cust2011,91,14,189270
1295,cust145,17,14,153131
1296,cust6958,141,1,32988
1297,cust4748,66,3,26261
1298,cust2737,150,2,116596
1299,cust4280,161,1,24339
1300,cust1288,35,10,77198
1301,cust3255,100,3,149567
1302,cust1097,56,13,335770
1303,cust3086,91,3,63282
1304,cust6991,115,1,7116
1305,cust2185,85,2,47516
1306,cust1631,170,5,149459
1307,cust1302,74,8,759933
1308,cust1128,102,1,23513
1309,cust4147,79,2,16329
1310,cust1788,29,11,120570
1311,cust3740,165,2,72343
1312,cust867,65,3,65252
1313,cust886,227,1,90617
1314,cust1313,56,3,472280
1315,cust1342,31,9,113040
1316,cust733,36,10,662515
1317,cust1964,107,3,70268
1318,cust1437,284,2,162936
1319,cust7033,128,1,12738
1320,cust4015,109,3,124259
1321,cust1145,36,4,67720
1322,cust2012,65,3,359017
1323,cust7051,52,4,42157
1324,cust1819,116,2,25909
1325,cust1205,22,16,213084
1326,cust1493,32,8,72494
1327,cust1505,36,19,103249
1328,cust7076,262,1,37547
1329,cust5421,191,1,39446
1330,cust3881,220,1,22697
1331,cust7093,129,2,32972
1332,cust1335,29,5,162741
1333,cust289,21,22,277112
1334,cust3139,107,5,331706
1335,cust2798,58,3,79140
1336,cust1243,24,12,146329
1337,cust1978,17,11,190783
1338,cust665,245,4,420341
1339,cust440,31,21,399575
1340,cust4654,130,5,52420
1341,cust2571,109,2,21253
1342,cust906,144,8,93115
1343,cust1663,11,31,211810
1344,cust1544,18,6,24185
1345,cust1382,11,16,116251
1346,cust4341,109,2,96934
1347,cust1046,66,16,309847
1348,cust5821,232,1,4545
1349,cust319,32,2,25537
1350,cust2523,65,3,105891
1351,cust3806,102,4,499434
1352,cust4640,176,1,54034
1353,cust704,95,1,162086
1354,cust3992,22,5,17793
1355,cust5100,85,5,182944
1356,cust4190,65,4,222823
1357,cust932,50,16,611373
1358,cust1491,16,15,189054
1359,cust828,43,13,280809
1360,cust806,150,4,416638
1361,cust511,56,13,544921
1362,cust3537,65,2,607096
1363,cust2125,136,2,87803
1364,cust4822,72,3,26390
1365,cust1257,56,4,214746
1366,cust2685,322,1,-2
1367,cust693,92,8,175130
1368,cust2809,225,1,874
1369,cust423,11,25,171983
1370,cust3599,28,7,120995
1371,cust7185,197,1,4471
1372,cust7187,109,1,9872
1373,cust2978,67,6,155218
1374,cust2414,73,3,46552
1375,cust427,29,4,42045
1376,cust3949,170,4,82479
1377,cust4,25,18,166978
1378,cust3310,169,1,20381
1379,cust1386,67,6,151031
1380,cust3577,38,3,49752
1381,cust2450,185,1,49872
1382,cust3905,191,2,29544
1383,cust147,269,2,58253
1384,cust5726,58,3,328826
1385,cust6552,122,1,5378
1386,cust1617,88,2,14929
1387,cust1078,71,10,601787
1388,cust2086,133,2,135411
1389,cust3875,189,2,432277
1390,cust5691,186,1,13059
1391,cust715,102,16,219102
1392,cust4991,119,4,252693
1393,cust5765,73,1,33005
1394,cust2700,31,6,24852
1395,cust3292,107,1,40463
1396,cust2385,56,8,98621
1397,cust1594,143,2,28604
1398,cust407,207,4,49467
1399,cust4167,107,1,19679
1400,cust2004,80,2,9417
1401,cust1364,147,4,13830
1402,cust1144,60,11,185729
1403,cust4166,109,4,105359
1404,cust5073,72,1,3340
1405,cust1316,56,6,114613
1406,cust2096,49,7,238748
1407,cust3088,165,2,0
1408,cust772,84,4,90409
1409,cust1220,43,4,266698
1410,cust429,18,5,65137
1411,cust2697,39,3,86209
1412,cust2430,56,6,56828
1413,cust1693,204,3,275240
1414,cust4668,81,4,80607
1415,cust5708,88,2,7585
1416,cust3733,28,2,11911
1417,cust2520,95,17,872060
1418,cust3373,88,6,1048516
1419,cust1699,11,25,207292
1420,cust1203,107,4,109668
1421,cust5567,59,3,21024
1422,cust3188,137,2,4390
1423,cust3845,65,4,76476
1424,cust2496,207,2,406216
1425,cust1771,16,5,109400
1426,cust4148,80,3,14206
1427,cust1890,49,3,266839
1428,cust1560,39,7,50747
1429,cust2256,204,4,285614
1430,cust168,29,7,166992
1431,cust4591,158,1,37113
1432,cust2257,99,2,38264
1433,cust1291,71,2,67752
1434,cust7361,106,1,46987
1435,cust6768,184,1,14068
1436,cust994,59,9,145300
1437,cust3232,196,2,48843
1438,cust313,28,8,55639
1439,cust4627,66,6,281842
1440,cust6372,224,1,45713
1441,cust3227,164,2,41454
1442,cust496,24,8,122482
1443,cust3177,107,3,65388
1444,cust1028,78,11,441556
1445,cust1270,22,3,21582
1446,cust3674,295,1,39231
1447,cust1409,11,18,501749
1448,cust930,17,21,742016
1449,cust2770,84,4,42473
1450,cust2358,56,3,22001
1451,cust387,25,11,83965
1452,cust2337,32,7,55468
1453,cust2643,267,2,550474
1454,cust6783,149,4,53221
1455,cust69,65,4,69034
1456,cust2804,115,2,35904
1457,cust1645,59,17,401389
1458,cust3656,163,1,66699
1459,cust34,109,2,6835
1460,cust3220,65,4,9979
1461,cust2705,93,2,93912
1462,cust1400,23,15,191806
1463,cust1420,51,6,268719
1464,cust2030,30,6,25717
1465,cust4957,137,1,97262
1466,cust196,130,4,131286
1467,cust2731,228,3,86216
1468,cust2696,161,1,25748
1469,cust2512,107,2,286177
1470,cust1595,101,9,1280527
1471,cust2863,56,3,14407
1472,cust2754,31,10,95339
1473,cust1413,18,13,286654
1474,cust3012,70,5,188847
1475,cust942,59,2,15450
1476,cust449,95,1,56742
1477,cust3753,135,3,144398
1478,cust1044,119,3,18119
1479,cust3814,67,2,91179
1480,cust2960,79,5,86611
1481,cust4125,228,1,13685
1482,cust1730,88,10,631472
1483,cust2953,67,11,173952
1484,cust1665,183,2,138186
1485,cust7427,102,1,2177
1486,cust1647,113,3,45665
1487,cust5471,130,1,6689
1488,cust1175,80,7,170725
1489,cust2452,65,8,99393
1490,cust773,35,9,319224
1491,cust6485,171,1,57633
1492,cust5150,149,1,15592
1493,cust4920,24,4,53436
1494,cust1634,100,5,62257
1495,cust2146,57,3,13117
1496,cust4281,85,3,110142
1497,cust4179,73,1,303
1498,cust3761,274,2,12501
1499,cust2421,53,5,96506
1500,cust5914,65,4,92844
1501,cust3592,143,1,34338
1502,cust2528,31,10,101343
1503,cust1550,14,15,117134
1504,cust1873,35,3,20135
1505,cust3585,72,3,121576
1506,cust6848,25,3,16853
1507,cust6709,81,2,105410
1508,cust7628,114,1,6612
1509,cust1158,38,7,106975
1510,cust329,11,9,99400
1511,cust3398,94,4,66077
1512,cust6898,102,2,31207
1513,cust3358,85,3,182098
1514,cust152,95,11,184141
1515,cust3475,81,3,208949
1516,cust3209,140,1,36126
1517,cust1642,37,6,37739
1518,cust1806,31,3,104337
1519,cust485,72,3,84163
1520,cust1549,15,7,59557
1521,cust1816,93,19,1971948
1522,cust381,59,8,1861381
1523,cust250,72,10,324582
1524,cust3792,212,4,106072
1525,cust1898,283,1,65156
1526,cust4061,87,1,19731
1527,cust181,36,3,6996
1528,cust4471,39,3,22404
1529,cust1923,64,2,8356
1530,cust3544,161,1,5309
1531,cust2926,24,4,691524
1532,cust3861,205,1,23093
1533,cust2703,86,4,67459
1534,cust5953,186,2,27880
1535,cust4362,99,1,72251
1536,cust3559,389,1,-7018
1537,cust3827,106,1,3656
1538,cust4505,198,2,34476
1539,cust2368,206,2,58208
1540,cust2060,144,8,299918
1541,cust876,368,1,-220
1542,cust1657,67,3,39127
1543,cust4397,245,1,7184
1544,cust7805,148,2,35236
1545,cust6683,22,2,9707
1546,cust3851,169,1,36650
1547,cust2595,317,2,-5741
1548,cust3553,88,3,67183
1549,cust1136,80,8,168707
1550,cust3049,56,3,209269
1551,cust1881,109,5,209601
1552,cust386,28,7,72819
1553,cust5682,65,1,2013
1554,cust2442,120,5,311867
1555,cust4278,144,2,71356
1556,cust1334,211,2,3527
1557,cust208,32,23,335578
1558,cust3788,200,2,9297
1559,cust1660,130,7,177290
1560,cust2329,44,9,67596
1561,cust681,86,3,164581
1562,cust2088,70,4,218058
1563,cust6758,86,1,2658
1564,cust1599,95,5,205299
1565,cust1012,52,4,137661
1566,cust7880,93,1,17835
1567,cust256,204,4,272168
1568,cust1761,85,1,3983
1569,cust5339,289,1,90600
1570,cust5075,28,4,10864
1571,cust4096,95,8,150277
1572,cust1482,107,2,15167
1573,cust1782,63,4,288508
1574,cust6979,136,1,10219
1575,cust1833,282,1,0
1576,cust3948,113,5,83971
1577,cust5342,106,3,-130
1578,cust597,59,5,15961
1579,cust2575,150,3,76585
1580,cust4370,186,4,16749
1581,cust3804,113,2,284858
1582,cust1513,29,10,130891
1583,cust2748,73,2,54809
1584,cust7400,130,1,3716
1585,cust2620,114,5,69988
1586,cust2461,130,2,94372
1587,cust1703,235,1,42744
1588,cust2917,50,7,169665
1589,cust7949,100,1,6063
1590,cust3025,155,2,-9840
1591,cust890,15,14,56148
1592,cust1791,162,3,130557
1593,cust5159,102,2,48086
1594,cust1129,73,25,523303
1595,cust5011,86,2,114712
1596,cust6179,130,4,10190
1597,cust7828,101,1,3099
1598,cust3685,43,3,31213
1599,cust3159,99,9,827962
1600,cust2122,15,6,62748
1601,cust3009,78,7,98018
1602,cust3269,78,3,41169
1603,cust3490,81,7,206463
1604,cust776,30,9,952690
1605,cust8023,206,1,6719
1606,cust3138,66,3,75541
1607,cust4525,23,8,237771
1608,cust392,129,5,63943
1609,cust1106,84,4,218982
1610,cust1478,71,2,10918
1611,cust6962,126,1,31787
1612,cust3081,70,2,5362
1613,cust5877,149,2,37187
1614,cust1314,141,1,94769
1615,cust399,49,7,92910
1616,cust35,77,5,154930
1617,cust516,199,1,218492
1618,cust424,150,3,253515
1619,cust3539,122,3,4925
1620,cust2931,231,3,38703
1621,cust3072,92,2,17243
1622,cust4914,231,3,53714
1623,cust803,86,1,21456
1624,cust1240,36,9,111576
1625,cust3075,29,5,49959
1626,cust6048,183,1,51209
1627,cust1045,120,2,11016
1628,cust1727,67,16,417878
1629,cust2645,78,3,117749
1630,cust2782,109,1,9495
1631,cust2591,23,5,96144
1632,cust500,23,11,174551
1633,cust5273,154,1,23532
1634,cust7862,85,1,11656
1635,cust1058,43,16,690919
1636,cust1777,57,5,19002
1637,cust1268,74,3,126203
1638,cust595,24,20,235997
1639,cust4524,56,2,61692
1640,cust1980,14,10,273878
1641,cust2903,31,5,16971
1642,cust307,117,5,787146
1643,cust5856,101,1,3073
1644,cust365,78,9,197242
1645,cust3029,102,1,46323
1646,cust3069,72,7,157208
1647,cust3416,109,3,32997
1648,cust4047,87,1,1071
1649,cust2220,91,2,52194
1650,cust4024,25,2,40247
1651,cust306,50,7,43046
1652,cust887,56,13,2625381
1653,cust7788,267,1,7867
1654,cust617,31,13,141689
1655,cust1321,52,12,108206
1656,cust1951,44,2,75070
1657,cust1922,101,3,343422
1658,cust3634,101,1,43608
1659,cust5315,155,1,4049
1660,cust8166,219,1,-116
1661,cust2836,133,1,88740
1662,cust7397,122,1,5998
1663,cust7435,179,1,5459
1664,cust396,98,7,125461
1665,cust2374,30,6,67056
1666,cust2170,79,1,2176
1667,cust860,77,7,365538
1668,cust3352,64,3,19535
1669,cust8187,122,1,33394
1670,cust1013,38,19,123174
1671,cust1043,150,1,36208
1672,cust4685,92,1,62304
1673,cust2983,114,3,48315
1674,cust3266,179,1,128547
1675,cust225,86,5,639138
1676,cust6028,249,1,122607
1677,cust4804,298,1,58832
1678,cust4165,267,2,105936
1679,cust2479,22,3,113560
1680,cust3562,161,1,6533
1681,cust1274,182,4,232147
1682,cust1372,71,11,211713
1683,cust2781,53,6,45596
1684,cust8231,113,1,18043
1685,cust877,65,3,88483
1686,cust2009,115,1,13542
1687,cust1066,15,11,140674
1688,cust1448,183,1,16940
1689,cust1104,224,3,42590
1690,cust3817,282,1,15372
1691,cust2167,112,1,14192
1692,cust352,99,3,73331
1693,cust1596,25,12,174580
1694,cust8262,130,1,56398
1695,cust5823,255,1,21682
1696,cust4714,211,2,14254
1697,cust3565,84,5,56756
1698,cust3199,163,1,70082
1699,cust642,88,4,236488
1700,cust1385,23,11,132764
1701,cust8283,197,1,261306
1702,cust1477,190,1,7115
1703,cust95,225,2,314487
1704,cust2162,154,1,9114
1705,cust2454,57,2,7583
1706,cust8295,260,1,33164
1707,cust4349,177,1,82471
1708,cust8091,85,2,16487
1709,cust2851,177,2,45692
1710,cust2652,92,3,47104
1711,cust2589,100,2,21780
1712,cust3124,60,3,230485
1713,cust1001,46,3,111105
1714,cust3821,78,6,266132
1715,cust4644,157,1,2551
1716,cust3540,163,1,20594
1717,cust4608,88,2,89087
1718,cust1915,31,6,119350
1719,cust2362,91,1,13184
1720,cust6471,158,1,8757
1721,cust2463,28,6,19697
1722,cust8335,94,1,1374
1723,cust3799,155,2,88908
1724,cust7673,142,1,7825
1725,cust5481,98,2,22474
1726,cust8339,108,1,2887
1727,cust3653,127,1,54526
1728,cust1580,59,2,96310
1729,cust6386,140,1,3099
1730,cust5766,106,1,22065
1731,cust3249,93,1,2214
1732,cust1675,91,3,60747
1733,cust4038,64,2,8965
1734,cust2765,225,1,10439
1735,cust5982,93,1,17046
1736,cust6625,176,2,29612
1737,cust779,80,2,80213
1738,cust3561,73,4,77206
1739,cust6833,108,1,34964
1740,cust3781,10,6,40506
1741,cust5149,72,4,252727
1742,cust3038,120,5,73021
1743,cust1095,35,4,28566
1744,cust703,29,3,9994
1745,cust3828,129,3,73444
1746,cust3802,73,4,91703
1747,cust303,123,1,102682
1748,cust3376,157,3,473515
1749,cust199,60,8,100440
1750,cust4488,70,1,1288
1751,cust206,262,1,15877
1752,cust2113,134,1,12888
1753,cust2345,108,3,290888
1754,cust3534,101,1,5906
1755,cust664,91,5,140535
1756,cust3976,100,1,9353
1757,cust4282,144,4,185827
1758,cust2733,81,3,33722
1759,cust4201,59,5,99866
1760,cust904,16,4,14248
1761,cust4813,63,3,31343
1762,cust1135,122,2,30151
1763,cust202,79,5,117646
1764,cust116,58,8,119779
1765,cust3240,60,5,45997
1766,cust2959,105,2,31350
1767,cust1958,142,7,172979
1768,cust2562,72,1,6688
1769,cust2912,32,7,70787
1770,cust5759,99,5,147276
1771,cust1185,58,10,290442
1772,cust403,59,6,44112
1773,cust1229,56,6,174769
1774,cust5845,126,1,52095
1775,cust1897,30,4,34458
1776,cust615,116,4,323153
1777,cust882,56,2,7333
1778,cust1979,49,17,78717
1779,cust3278,74,5,69318
1780,cust4866,150,4,101222
1781,cust344,224,3,159393
1782,cust7877,156,1,5665
1783,cust3688,114,2,19426
1784,cust7104,204,1,23922
1785,cust142,18,9,187349
1786,cust1404,60,2,285599
1787,cust1574,63,5,158573
1788,cust4541,107,2,37778
1789,cust1397,35,5,15812
1790,cust2263,219,1,173527
1791,cust736,36,8,159551
1792,cust4474,29,3,46876
1793,cust4862,71,4,60661
1794,cust4364,227,1,11310
1795,cust4656,14,4,32654
1796,cust7085,193,4,9973
1797,cust8541,102,1,11346
1798,cust4776,44,2,2655
1799,cust4118,85,1,17400
1800,cust5062,122,2,199840
1801,cust810,35,3,73177
1802,cust5473,94,1,3759
1803,cust460,284,1,125157
1804,cust1866,88,4,149449
1805,cust1266,64,9,161331
1806,cust697,18,8,393646
1807,cust4876,60,4,175309
1808,cust1756,60,2,9642
1809,cust6319,126,2,215612
1810,cust924,50,3,37729
1811,cust1242,25,6,38121
1812,cust866,212,3,9262
1813,cust3346,114,2,224349
1814,cust6787,107,1,2646
1815,cust7378,77,5,33128
1816,cust1905,66,2,18066
1817,cust1991,149,2,6486
1818,cust6280,59,4,118795
1819,cust2892,100,3,77001
1820,cust2831,163,3,139756
1821,cust1381,225,1,18230
1822,cust3191,109,7,106040
1823,cust3844,73,1,6791
1824,cust4790,86,1,5364
1825,cust2353,35,5,70743
1826,cust3491,42,3,20036
1827,cust3710,24,3,20055
1828,cust2379,78,2,26914
1829,cust2194,45,2,16062
1830,cust1551,176,1,46295
1831,cust3389,29,7,116488
1832,cust3091,42,11,126204
1833,cust2745,50,2,27116
1834,cust4066,73,2,39306
1835,cust8637,105,1,71819
1836,cust3926,134,1,23098
1837,cust2363,64,4,42750
1838,cust5624,66,7,181466
1839,cust4874,78,4,20883
1840,cust5843,101,1,7436
1841,cust4749,196,1,30223
1842,cust483,17,4,72951
1843,cust5998,100,3,1699486
1844,cust2719,53,11,257865
1845,cust3669,176,4,398004
1846,cust2653,52,5,48770
1847,cust6470,154,1,24178
1848,cust8566,235,2,4934
1849,cust5076,74,3,55800
1850,cust2147,71,3,105441
1851,cust5247,172,3,445299
1852,cust2521,262,1,3762
1853,cust55,29,4,109556
1854,cust6886,101,2,75978
1855,cust5291,63,2,88658
1856,cust3930,210,3,22954
1857,cust6054,261,1,17710
1858,cust6864,81,1,29058
1859,cust3759,121,5,700587
1860,cust7063,283,1,11597
1861,cust4571,161,1,4717
1862,cust7632,121,1,10869
1863,cust7622,112,4,246247
1864,cust1884,29,4,4405
1865,cust5313,51,3,12106
1866,cust8697,107,1,24040
1867,cust6839,122,1,8475
1868,cust3457,189,3,160480
1869,cust6411,112,2,50498
1870,cust1822,71,7,348242
1871,cust1446,51,9,121523
1872,cust7741,43,2,40652
1873,cust6806,79,3,7906
1874,cust2493,99,2,79293
1875,cust1760,87,3,86258
1876,cust1192,156,3,20929
1877,cust2032,63,7,151419
1878,cust889,113,3,137458
1879,cust3543,309,1,55910
1880,cust2707,144,2,15713
1881,cust4153,168,1,30908
1882,cust2630,112,1,17912
1883,cust524,114,6,92437
1884,cust248,207,1,51997
1885,cust426,105,2,148366
1886,cust2173,137,4,620466
1887,cust618,51,4,26650
1888,cust2565,344,1,13879
1889,cust3795,80,3,86460
1890,cust2944,338,1,22850
1891,cust561,80,2,20909
1892,cust1640,64,4,484217
1893,cust8773,99,2,7477
1894,cust3404,95,3,97279
1895,cust1331,59,5,30926
1896,cust1845,71,6,170617
1897,cust3712,91,3,54682
1898,cust3681,31,3,19751
1899,cust2515,58,2,21843
1900,cust5348,157,1,117733
1901,cust3941,185,3,692264
1902,cust3050,161,3,99617
1903,cust7952,88,1,34822
1904,cust7134,172,7,221713
1905,cust3973,205,2,42248
1906,cust5068,241,1,25784
1907,cust2047,73,3,127189
1908,cust1848,94,3,-21839
1909,cust5486,144,4,54941
1910,cust2245,123,2,25561
1911,cust5526,246,1,38169
1912,cust676,64,5,107582
1913,cust3569,92,2,20275
1914,cust3574,170,1,5087
1915,cust2458,60,3,41862
1916,cust2246,85,5,821968
1917,cust2230,96,3,321970
1918,cust4175,121,1,4902
1919,cust5760,38,8,21305
1920,cust4686,60,3,14055
1921,cust512,37,5,35719
1922,cust3324,77,1,24105
1923,cust634,32,9,85182
1924,cust1496,197,1,28984
1925,cust2686,24,4,24442
1926,cust8867,87,1,5378
1927,cust4119,84,3,52477
1928,cust2387,80,2,40305
1929,cust8876,60,2,29653
1930,cust3649,228,2,2798
1931,cust8891,91,1,31089
1932,cust1194,71,2,22774
1933,cust3044,179,1,27448
1934,cust3262,39,10,262579
1935,cust4983,210,1,-1746
1936,cust8900,254,1,21242
