,customer,recency,frequency,monetary
233,cust1411,65,6,184436
234,cust2657,70,9,108577
235,cust689,37,40,2884141
236,cust27,10,45,1288704
237,cust997,72,33,1534891
238,cust330,11,56,1992276
239,cust140,35,39,474296
240,cust189,86,7,133801
241,cust101,30,30,2239246
242,cust1011,25,13,789912
243,cust1450,72,18,2374250
244,cust72,24,3,26440
245,cust1481,29,18,567393
246,cust265,74,33,1984666
247,cust2740,44,5,117759
248,cust84,24,158,10299990
249,cust432,63,18,386432
250,cust100,24,28,723055
251,cust633,310,2,64562
252,cust2762,29,6,23960
253,cust791,15,49,2149674
254,cust217,107,31,1130426
255,cust190,29,69,2116681
256,cust1520,113,22,1306037
257,cust86,22,40,1366898
258,cust18,11,25,293693
259,cust2813,29,6,58034
260,cust1297,23,15,161403
261,cust656,28,16,384716
262,cust58,14,75,6319262
263,cust2284,95,2,14392
264,cust471,38,61,858694
265,cust301,46,12,711030
266,cust136,18,107,3092669
267,cust106,87,20,1423580
268,cust675,18,16,230620
269,cust1734,21,8,43575
270,cust2085,59,10,165175
271,cust382,17,59,468762
272,cust1982,11,20,351309
273,cust2915,42,7,204723
274,cust1234,134,9,343226
275,cust805,24,24,1336067
276,cust799,21,40,425678
277,cust2186,28,11,396495
278,cust267,35,42,680739
279,cust1069,66,9,1653502
280,cust1433,10,14,178936
281,cust1000,24,17,153555
282,cust724,64,13,349877
283,cust888,16,39,4276920
284,cust2998,305,1,62642
285,cust1226,123,19,1435428
286,cust825,11,11,196316
287,cust389,18,70,514705
288,cust1361,100,4,136409
289,cust61,30,25,2129818
290,cust3024,149,2,55883
291,cust3026,85,11,1414778
292,cust2910,95,5,500018
293,cust1309,23,6,327874
294,cust795,66,21,1744159
295,cust417,57,9,532890
296,cust1379,15,19,258550
297,cust1906,325,4,144718
298,cust459,10,12,105499
299,cust531,50,20,709396
300,cust1337,80,3,87252
301,cust279,59,40,722529
302,cust2084,22,4,11037
303,cust355,17,45,770614
304,cust556,56,21,1285704
305,cust960,11,24,375694
306,cust1644,95,4,132168
307,cust70,25,33,984690
308,cust3110,282,1,5652
309,cust201,21,25,262562
310,cust3117,81,9,97838
311,cust831,29,17,87437
312,cust1233,81,3,62353
313,cust395,30,12,326745
314,cust727,65,6,975175
315,cust273,39,74,1025301
316,cust1215,16,41,1085432
317,cust1886,98,30,631461
318,cust268,11,41,709288
319,cust1726,81,8,99772
320,cust155,148,8,488211
321,cust2142,85,3,1134860
322,cust406,46,31,1305862
323,cust232,16,59,1151343
324,cust143,21,60,2154635
325,cust861,63,5,210063
326,cust1719,18,30,428254
327,cust3245,98,1,12580
328,cust229,36,72,4200282
329,cust1067,35,16,354001
330,cust1523,100,2,68295
331,cust1519,35,13,299029
332,cust1543,112,4,90613
333,cust2381,59,4,102251
334,cust12,51,6,121603
335,cust576,49,13,484636
336,cust957,99,11,543178
337,cust1492,64,4,46359
338,cust408,18,67,2057496
339,cust390,30,29,2262945
340,cust66,70,18,603965
341,cust1425,49,17,455310
342,cust220,16,27,4602052
343,cust3368,63,3,113165
344,cust1299,65,19,231453
345,cust1776,31,6,445571
346,cust849,17,35,583803
347,cust1021,16,18,259583
348,cust908,88,17,3125032
349,cust519,94,32,1056682
350,cust793,18,20,456541
351,cust3422,206,1,100233
352,cust3420,14,13,132710
353,cust87,36,24,346548
354,cust907,38,14,103222
355,cust183,21,67,1687924
356,cust3458,35,8,243687
357,cust575,23,26,1142951
358,cust1304,71,6,271397
359,cust1217,51,28,685785
360,cust308,29,64,1891397
361,cust388,30,30,716551
362,cust93,35,30,1003288
363,cust1632,9,18,102156
364,cust433,30,12,711471
365,cust3478,16,15,479127
366,cust255,115,12,236001
367,cust2070,98,7,264237
368,cust64,31,56,3347465
369,cust2121,15,21,1072587
370,cust921,17,31,1031528
371,cust708,46,35,676951
372,cust76,36,84,2626969
373,cust2828,39,5,231105
374,cust173,38,14,344521
375,cust891,59,47,1326792
376,cust90,17,60,823443
377,cust1511,87,7,130800
378,cust505,22,40,388228
379,cust2865,128,1,35542
380,cust1858,51,6,240781
381,cust473,11,21,686291
382,cust320,44,24,844706
383,cust332,28,68,3106369
384,cust3576,92,1,52638
385,cust503,39,7,272109
386,cust1429,14,62,2620630
387,cust1877,17,11,123363
